Generation,Best,Mean,Mean STD
0,673.182,411.23,181.917
1,624.902,404.242,166.766
9,546.331,408.833,132.885
10,557.405,412.33,137.332
11,553.19,408.4,135.614
12,550.745,413.187,138.469
13,549.49,412.982,136.973
14,547.568,409.208,130.281
15,552.885,413.351,135.851
16,566.553,419.629,144.189
17,540.072,414.267,128.38
18,550.125,421.963,129.884
19,548.675,426.65,135.244
20,555.604,428.597,141.974
21,539.302,430.845,122.599
22,551.334,437.772,129.064
23,553.862,439.393,127.97
24,572.492,444.247,139.228
25,562.383,442.421,135.056
26,552.705,444.09,128.339
27,542.661,440.718,121.501
28,554.542,440.117,124.373
29,558.772,443.214,134.606
30,557.368,445.575,133.756
31,555.857,434.836,128.629
32,567.115,445.772,141.729
33,565.015,442.871,138.546
34,565.709,439.444,138.77
35,560.915,439.26,133.429
36,563.288,435.52,134.347
37,568.745,442.426,147.152
38,563.321,444.726,131.375
39,556.099,441.198,133.929
40,569.415,448.046,138.273
41,557.021,443.891,134.938
42,558.984,443.707,136.592
43,576.563,441.447,146.912
44,577.11,439.728,143.003
45,563.009,440.529,139.441
46,548.537,435.973,129.579
47,552.394,437.511,131.713
48,568.669,437.739,136.546
49,569.336,441.731,145.936
50,572.721,441.013,142.297
51,561.948,434.78,139.689
52,561.257,439.004,132.858
53,544.907,434.783,124.567
54,553.52,440.141,128.573
55,569.884,444.482,133.119
56,564.413,439.364,138.099
57,577.291,443.702,139.714
58,549.12,429.41,131.09
59,552.084,436.246,134.399
60,559.809,438.182,139.491
61,553.635,438.819,132.693
62,566.033,444.197,135.773
63,560.258,442.708,129.434
64,569.428,440.435,139.719
65,553.779,440.219,134.085
66,564.078,437.713,133.771
67,570.367,443.934,137.958
68,567.047,441.113,136.471
69,562.093,439.384,134.545
70,552.766,437.858,134.31
71,574.79,442.84,140.11
72,559.378,434.027,137.429
73,557.081,435.433,136.554
74,549.562,433.057,134.433
75,571.903,444.473,136.719
76,552.549,438.647,134.051
77,567.498,447.885,136.9
78,557.003,436.167,129.689
79,563.024,437.256,138.561
80,553.597,432.825,131.135
81,565.995,442.839,134.769
82,567.265,438.444,147.865
83,571.036,441.149,142.795
84,567.86,440.574,139.77
85,559.553,437.979,140.194
86,574.491,442.826,141.038
87,585.859,441.349,144.632
88,576.587,442.186,141.448
89,558.825,436.249,144.046
90,562.099,438.56,136.874
91,553.481,438.767,135.936
92,568.259,444.937,137.992
93,554.232,436.629,140.505
94,564.199,441.297,139.675
95,553.552,441.479,128.36
96,562.945,443.499,129.531
97,557.951,440.758,132.333
98,568.325,445.942,140.055
99,571.531,441.497,142.776
