Generation,Best,Mean,Mean STD
0,602.048,396.918,41.0486
1,506.04,371.767,36.3422
2,492.837,356.375,34.0605
3,468.246,344.046,32.7656
4,466.233,334.363,35.5714
5,454.278,333.922,39.4505
6,425.56,323.841,33.1854
7,404.88,320.691,33.0262
8,383.089,320.068,28.0967
9,396.039,326.518,29.9408
10,414.232,332.779,35.2699
11,395.019,327.419,32.008
12,399.523,319.93,30.4548
13,391.978,325.673,30.2393
14,389.051,322.554,31.9398
15,379.841,319.265,29.7216
16,378.266,314.688,27.6553
17,386.818,317.052,29.2609
18,396.063,320.969,28.061
19,386.483,317.593,28.9994
20,382.551,316.545,28.3172
21,391.711,322.107,30.7574
22,371.488,315.285,25.9555
23,381.094,316.428,27.1962
24,379.275,317.024,27.1243
25,386.583,318.897,31.3934
26,377.093,316.991,30.2071
27,381.686,318.402,29.8715
28,388.034,316.991,30.5184
29,381.672,317.111,26.8748
30,373.131,311.49,26.7857
31,381.507,316.272,28.2327
32,386.449,322.694,28.5695
33,387.066,320.415,28.8615
34,390.46,320.328,29.4511
35,382.315,317.495,27.8104
36,389.534,316.944,28.9352
37,394.888,323.806,29.4922
